email,level
ryan@dundermifflin.com,executive
jan@dundermifflin.com,executive
david@dundermifflin.com,executive
andy@dundermifflin.com,employee
angela@dundermifflin.com,employee
creed@dundermifflin.com,employee
darryl@dundermifflin.com,employee
dwight@dundermifflin.com,employee
jim@dundermifflin.com,employee
holly@dundermifflin.com,employee
kelly@dundermifflin.com,employee
kevin@dundermifflin.com,employee
meredith@dundermifflin.com,employee
oscar@dundermifflin.com,employee
pam@dundermifflin.com,employee
phyllis@dundermifflin.com,employee
roy@dundermifflin.com,employee
stanley@dundermifflin.com,employee
toby@dundermifflin.com,employee
